;Adresse;CP;Ville;Latitude;Longitude;Nutella;Riz;Pates;Beurre;Caprice des dieux;Papier toilette;Pain de mie
173; 137 Rue Pierre Mauroy;59000;Lille ;50.6337566;3.0682976000001;5.48;2.24;;;;2.5;1.44
174; 138 Bis Route De Seysses;31100;Toulouse ;43.558715;1.402745;4.65;1.59;1.55;;2.95;1.99;1.25
175; 138 Rue Roger Salengro;62720;Rinxent ;50.807;1.72562;4.85;;1.7;2.8;2.97;2.08;
176; 139 Route De Corbeil;91700;Sainte-Geneviève-des-Bois ;48.638428;2.334723;4.6;1.59;1.55;2.29;2.99;2.15;
177; 13avenue De Chablis;89144;Ligny-le-Châtel ;47.89525;3.758136;5.27;1.84;1.99;2.58;2.99;2.12;1.35
178; 13bd Alsace Lorraine;64000;Pau ;43.30273;-0.36152;5.1;1.9;2.02;;3.18;;1.39
179; 14 Bis Rue Bateliers;93400;Saint-Ouen -Bat ;48.9135978;2.3261491000001;5.51;1.84;;;3.58;2.25;1.6
180; 14 Boulevard Clemenceau;18000;Bourges ;47.08568;2.40054;5.09;2.16;1.84;2.67;3.1;2.32;1.27
181; 14 Cours Camille Claudel Zac De La Morinais;35136;Saint-Jacques-de-la-Lande ;48.0816085;-1.71359;4.65;1.59;1.39;;2.99;2.09;1.25
182; 14 Place De La Fontaine Centre Cial Garros;32000;Auch ;43.64638;0.586709;5.53;2.07;;2.8;3.48;;
183; 14 Place Sebastopol;59000;Lille ;50.628594;3.057965;5.13;2.14;1.82;2.98;;2.21;1.3
184; 14 Rue Closchebey Cc St Jacques;56370;Sarzeau ;47.48988;-2.79668;5.72;2.33;2.02;;;;
185; 14 Rue Des Argouges;38000;Grenoble ;45.1780075;5.7440303999999;;1.96;1.91;2.76;3.08;2.12;1.33
186; 14 Rue Du General Ingold;88230;Fraize ;48.1828;7.00354;4.75;1.59;1.59;2.21;2.99;2.29;1.29
187; 14 Rue Guillaume Grootaers;44300;Nantes ;47.238468;-1.5856406;5.21;;1.84;;3.17;2.38;1.51
188; 14 Rue Jean Grimaud;56230;Questembert ;47.662593;-2.45834;4.65;1.49;1.39;2.39;2.89;;1.25
189; 14 Rue Montcornet;02340;Lislet ;49.687896;4.023459;4.65;1.59;1.45;;2.99;2.15;1.25
190; 14 Rue Rene Lanoy;62210;Avion ;50.414234;2.8354272;4.65;;1.59;;2.99;2.29;1.25
191; 140 Allee De Seville;30000;Nîmes ;43.821562;4.363172;4.65;1.59;1.59;2.21;2.99;2.29;1.25
192; 140 Rue De Nantes;35000;Rennes ;48.10009;-1.68598;;2.33;2.02;;3.49;;1.68
193; 140 Rue Jean Jaures;59286;Roost-Warendin ;50.4199674;3.1078286;4.65;;1.55;2.45;2.99;2.15;1.25
194; 141 Avenue Jean Jaures 0;51100;Reims ;49.2610842;4.0490912;5.19;1.79;1.95;3.0;3.2;;1.3
195; 141 B Route Du Plan;74110;Morzine ;46.18048;6.70704;;1.59;1.55;2.45;2.99;2.09;
196; 142 Rue De Malakoff;75016;Paris ;48.8754378;2.283977;5.07;1.97;;;;2.15;1.51
197; 142 Rue Du Commerce;69460;Le Perréon ;46.0629;4.60117;4.99;1.96;1.96;;;2.12;
198; 144 Avenue De Paris;71100;Chalon-sur-Saône ;46.7982025;4.84736;;1.59;1.55;;;2.15;1.25
199; 144 Avenue Garossos;31700;Beauzelle ;43.6689788;1.3669344;4.65;1.49;1.55;;2.89;1.99;1.25
200; 144 Route De Eecke;59114;Terdeghem ;50.804984;2.583456;4.65;1.59;1.55;;2.99;2.15;1.25
201; 1454 Avenue Justice De Castelnau;34090;Montpellier ;43.625892;3.887379;4.65;1.59;1.55;2.21;;2.15;1.25
202; 147 Chaussee St Pierre;80000;Amiens ;49.9036228;2.306731;5.13;2.14;1.82;2.98;3.25;2.21;1.3
203; 149 Route Du Tram;74270;Frangy ;46.0178882;5.9287242;;1.93;1.83;2.72;2.99;2.07;1.3
204; 149 Rue De Charonne;75011;Paris ;48.85513687133789;2.3871500492095947;5.09;2.03;2.16;;3.66;2.32;1.64
205; 15 Avenue Du Berry;23230;Gouzon ;46.19461;2.23895;4.65;1.49;;;2.89;;
